Question,Answer
How is ‘severe disability’ defined?,"An individual is considered to be severely disabled if they are unable to perform at least 3 out of 6 of these activities of daily living even with the aid of special equipment, and will always require the physical assistance of another individual throughout the entire activity. The 6 activities of daily living (ADLs) include the ability to wash your face or body in the bath or shower independently as well as physically getting in and out of the shower.
The ability to choose which clothes to wear, putting them on, and managing your self appearance. This includes securing and unfastening any artificial limbs, braces, and other medical and surgical appliances, if needed.
The ability to feed oneself after the food has been prepared. The ability to get to and from the toilet, use it properly, and clean yourself afterwards. This includes putting on protective undergarments such as diapers or surgically appliances unaccompanied, if required. The ability to sit, stand, walk and move from one place to another on level surfaces by yourself. While similar to functional mobility and sometimes used interchangeably, transferring focuses on all aspects of being able to move from a bed to an upright chair or wheelchair and vice versa."
Where can I get more information about caregiving for elderly?,"The Agency for Integrated Care (AIC) supports caregivers and seniors with information on staying active and ageing well, and connect people to services they need. For more information, you can visit the AIC website at aic.sg or call their hotline at 1800-650-6060. Additionally, you can speak to a Care Consultant at the AIC Link Locations listed here: https://www.aic.sg/about-us/aic-link-locations/"
I am stressed and burnt out from caregiving. Who can I talk to for affordable counselling?,"Caregiving can be incredibly exhausting, both physically and emotionally. It’s so important to acknowledge what you’re going through and to seek support. You can talk to professionals who understand your situation, such as counsellors at SAGE Counselling Centre. The centre offers free centre-based counselling services for Singaporeans who are elderly, caregivers and family members. To find out more or schedule an appointment, visit their website at (http://sagecc.org.sg) or call +65 6354 1191."
My elderly loved one has mental health issues. Where can I get help?,"I'm really sorry to hear that your loved one is struggling with mental health issues. It can be incredibly challenging to navigate this situation, but you're not alone, and help is available. MindCare is one such organisation that has psychiatrists who specialise in elderly mental health conditions, such as: depression and mood disorders, anxiety, dementia, psychosis and behavioural changes. To learn more about centre locations and contact information, visit (https://www.mindcarespecialists.com/make-an-appointment/) "
Where can I receive support and information about Caregiving?,"Caregiving Welfare Association offers a range of services to support caregivers, including specialised programs, workshops, and counselling designed to help them manage the challenges of caregiving. To apply for these services, caregivers can reach out to CWA through email, phone, or by visiting their website for more details. For assistance, you can visit their website (http://cwa.org.sg) or call +65 6466 7957 / +65 6466 7996."
My loved one has Dementia. Where can I get more information?,"Dealing with dementia can be incredibly challenging, but you're not alone. There are many resources available to help you navigate this journey. You can start by learning more about the support you can give to your loved one by getting in touch with Dementia Singapore. They offer specialised services for caregivers of dementia patients, including support groups, helplines, and educational resources. To find out more, visit the Dementia Singapore website (http://dementia.org.sg), or call them at +65 6377 0700."
What is the TOUCH Caregivers Support and how do I apply?,"TOUCH offers a wide range of services for caregivers of the elderly, including training, support groups, respite care, and counselling. Moreover, with access to support groups, counselling services and respite care, caregivers are able to get a much-needed break. Visit the TOUCH website (http://touch.org.sg), or reach out to them by phone at +65 6804 6555."
I am lost. I don’t know what to do. Where can I get help to care for my elderly loved one?,"I understand how overwhelming this situation must be for you. Caring for an elderly loved one can feel like a huge responsibility, especially when you’re unsure where to turn for help. But please know that support is available. The Singapore Silver Line provides comprehensive information, support, and referral services focused on elderly care and mental health resources, including specialised support for caregivers. By calling the helpline, caregivers of elderly individuals can access valuable information on elderly care, receive referrals to mental health resources, and gain support tailored to their needs. You can speak to the friendly staff in Mandarin, Malay, Tamil and even in dialect. They would help identify and recommend appropriate care services and guide you through the various assistance schemes available. To access these services, simply call the helpline directly at +65 1800-650-6060 for immediate assistance. Please take note that the helpline operates from 8.30am to 8.30pm on weekdays, and from 8.30am to 4pm on Saturdays."
I need long-term care assistance for my elderlyloved one. What can I do?,"Nursing home could be a suitable option if you’re looking for long-term residential care facility for seniors who have limited or no caregiver support, and require nursing care and assistance with most of their activities of daily living. Seniors applying to stay in a nursing home must be physically and/or mentally disabled because of illness. The senior is either semi-mobile, using a wheelchair or is bed bound, and needs daily care and help with activities like going to the toilet or walking. The senior is unable to be cared for at home by family or paid domestic worker, and tried all other care options such as using day care, home medical, home nursing services. Singapore Citizens, Permanent Residents or foreigners are open to apply. Generally, the basic cost of Nursing Home services varies between $2,200 and $4,200 per month to stay in a nursing home (before MOH subsidy), depending on the level of care required. Additional charges include one-time refundable deposit and administrative charges. Other charges which are not covered by the basic cost may apply. To apply, you will need to get a referral from a hospital, polyclinic or medical social worker who is familiar with your loved ones’ condition and needs. For further assistance, contact the Agency for Integrated Care (AIC) at 1800 650 6060, email enquiries@aic.sg or walk in to a nearby AIC Link at the locations listed here: https://www.aic.sg/about-us/aic-link-locations/"
I need overnight care assistance for my elderly loved one. What can I do?,"Night Respite is an overnight respite option for caregivers of persons requiring mild to moderate assistance in their Activities of Daily Living (ADL) or persons living with dementia displaying sundowning behaviour. This service provides caregivers with the opportunity to take time off from night time caregiving duties. The service is available Monday to Friday, from 7pm (up to 12 hours duration). Transport option with subsidy is available if required. Government subsidies for Singaporeans and Permanent Residents are available based on means testing. Caregivers applying for this service must be a caregiver of a person needing care at night. You can find out more about Night Respite by calling the Agency for Integrated Care Hotline 1800-650-6060 or at AIC Links located here (https://www.aic.sg/about-us/aic-link-locations/)"
I need short-term care assistance for my elderlyloved one. What can I do?,"Nursing homes respite care might be a suitable subsidised care option with healthcare services for seniors with high care needs if caregivers need a short break on an ad hoc basis during the day. Nursing home respite care providers in Singapore require care recipients to stay for at least seven days or up to 30 days in a calendar year. However, the Agency for Integrated Care (AIC) also considers applications on a case-by-case basis and may allow the care recipient to stay for a longer period in cases where caregivers may need the stay to be longer, such as when the caregiver is sick and cannot recover in time. To apply for this service, your loved one must meet the following minimum criteria (a) Has moderate to high nursing care needs; and (b) Has a long-term care arrangement in place. There must be a discharge care plan for your loved one at the end of the respite care period i.e. when they leave the nursing home. Respite care is not a suitable option if your loved one has a condition that requires urgent medical attention. For such cases, please seek assistance from a General Practitioner or hospital. The basic cost varies between $2,000 and $3,600 a month to stay in a nursing home (before government subsidy), depending on the level of care required. In general, the daily room and board rate ranges from $100 to $150 for open ward (excluding administration fees, consumables, and a refundable deposit). Additional charges include one-time refundable deposit and administrative charges. There may be other charges as well. Government subsidies are available for respite care. To apply, contact any nursing home for assistance. For more information, please contact the Agency for Integrated Care Hotline 1800-650-6060 or visit a Care Consultant at the AIC Links located here( https://www.aic.sg/about-us/aic-link-locations/)"
I need help looking after my elderly loved one while I’m at work. What can I do?,"Senior Day Care provides a full day programme for seniors who are suitable for centre-based care setting, and require supervision while their caregivers are at work. The day care services are geared for seniors, including those with dementia, who are able to walk around without assistance and/or able to walk around with some assistance. NTUC Health Senior Day Care is one such service provider. To apply, you would need a  referral from a hospital, polyclinic or Family Service Centre that your senior visits. Generally, the estimated cost for day care ranges between $945 and $1,430 a month before subsidies, assuming daily attendance on weekdays, excluding transport. For Dementia Day care, The estimated cost ranges between $1,260 and $1,575 per month before subsidy, assuming daily attendance on weekdays and excluding transport services. You can apply for subsidies, and the received amount varies depending on your family’s income. For more information, please contact the Agency for Integrated Care Hotline 1800-650-6060 or visit a Care Consultant at the AIC Links located here (https://www.aic.sg/about-us/aic-link-locations/)"
